epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,173.91,1.08571,2.40264,1.83022,0.16881,0.16129,0.10516,0.03774,4.05545,3.02436,6.51904,0.000114221,0.000114221,0.000114221
88,175.129,1.23009,2.34504,1.92902,0.16832,0.16129,0.10417,0.03736,4.05575,3.03686,6.52932,0.000101423,0.000101423,0.000101423
89,176.337,1.22022,2.39308,1.94115,0.17363,0.19205,0.10768,0.03458,4.04858,3.04322,6.54202,8.95213e-05,8.95213e-05,8.95213e-05
90,177.514,1.39978,2.43693,2.15367,0.16403,0.1828,0.10288,0.03276,4.05489,3.04999,6.54935,7.8528e-05,7.8528e-05,7.8528e-05
91,276.64,1.34176,2.48146,2.05189,0.15878,0.1828,0.10187,0.03225,4.05933,3.06559,6.5709,6.8454e-05,6.8454e-05,6.8454e-05
92,277.869,1.0855,2.2151,1.86664,0.14065,0.2043,0.1023,0.03285,4.06064,3.07495,6.56682,5.93093e-05,5.93093e-05,5.93093e-05
93,279.104,1.2633,2.47617,1.97521,0.14766,0.2043,0.10115,0.03264,4.06201,3.07194,6.54921,5.11027e-05,5.11027e-05,5.11027e-05
94,280.272,1.38458,2.4334,2.10713,0.1403,0.19355,0.10034,0.03304,4.06621,3.08464,6.52535,4.38424e-05,4.38424e-05,4.38424e-05
95,281.54,1.24763,2.46284,2.03259,0.14708,0.19355,0.10077,0.03289,4.07021,3.07888,6.50334,3.75356e-05,3.75356e-05,3.75356e-05
96,282.712,1.23914,2.42153,2.01037,0.1502,0.19355,0.10134,0.033,4.07141,3.08233,6.50982,3.21885e-05,3.21885e-05,3.21885e-05
97,283.951,1.13191,2.36675,1.87514,0.16041,0.19355,0.10752,0.0332,4.07663,3.07333,6.50146,2.78064e-05,2.78064e-05,2.78064e-05
98,285.111,1.14542,2.36256,1.85836,0.16099,0.19355,0.10872,0.03377,4.08027,3.06442,6.49357,2.43937e-05,2.43937e-05,2.43937e-05
99,286.592,1.349,2.35915,2.09561,0.16221,0.19355,0.10864,0.03314,4.08026,3.05611,6.48511,2.19535e-05,2.19535e-05,2.19535e-05
100,287.787,1.26678,2.35159,1.97442,0.16234,0.19355,0.09865,0.03451,4.08525,3.05421,6.4759,2.04885e-05,2.04885e-05,2.04885e-05
